e01	3	3	1	2	4	3	2	4	1	3	4	3	2	2	1	1	2	4	3	1	1	4	3	4	4	3	1	2	4	1
e02	4	2	3	2	3	1	2	4	2	1	3	3	4	2	1	3	1	3	3	1	3	1	2	4	4	4	4	2	1	2
e03	4	4	4	3	4	2	4	4	3	3	3	4	2	2	3	1	1	2	2	2	1	2	1	4	3	1	3	1	1	3
e04	1	4	2	2	3	3	2	4	2	3	1	3	4	4	1	3	1	2	2	3	2	1	4	4	3	2	1	1	1	4
e05	1	2	3	4	1	2	1	3	4	3	3	2	4	2	1	3	3	4	3	1	2	4	2	1	2	4	4	2	1	4
e06	4	3	2	3	2	4	1	3	3	2	2	1	2	1	2	1	4	3	4	3	4	4	3	4	1	1	1	2	3	1
e07	3	4	2	4	2	2	1	1	4	4	3	4	1	4	4	2	3	1	4	2	3	3	2	3	1	1	2	1	3	2
e08	2	4	3	1	1	4	1	2	4	2	3	1	1	3	1	2	2	3	3	3	4	4	1	2	4	2	3	3	4	1
s01	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
s02	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4	3	4
s03	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4	1	2
s04	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1
s05	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1
s06	1	2	2	1	3	3	1	4	4	1	2	2	1	3	3	1	4	4	1	2	2	1	3	3	1	4	4	1	2	2
s07	2	2	1	2	2	3	2	2	4	2	2	1	2	2	3	2	2	4	2	2	1	2	2	3	2	2	4	2	2	1
s08	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	2
s09	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	4	1	1	1	1	2	1
s10	1	1	1	1	2	1	1	1	1	3	1	1	1	1	4	1	1	1	1	2	1	1	1	1	3	1	1	1	1	4
p01	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4	4	4	4	4
p02	1	1	3	1	1	3	1	1	1	1	1	1	3	3	1	1	1	1	1	3	1	3	3	3	1	3	1	1	1	1
p03	2	4	4	4	2	4	2	2	2	4	2	4	4	4	2	2	4	4	2	2	4	2	2	4	2	2	4	4	2	4
p04	2	2	2	2	4	2	4	3	2	2	2	2	3	2	2	2	4	3	2	2	2	2	2	2	2	2	2	2	2	2
p05	3	3	3	3	4	1	3	3	1	4	3	3	3	1	3	4	4	3	3	1	4	4	3	3	1	3	3	1	3	3
p06	1	1	1	1	3	1	1	1	2	1	1	1	2	2	3	1	3	1	3	3	2	1	2	1	1	2	1	3	2	3
p07	4	2	3	2	2	4	4	2	3	3	2	3	4	2	3	3	4	3	2	2	3	4	3	2	4	4	4	4	2	3
p08	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	1	1	2	3	4	2	3	3	2	1	2	4	2
p09	1	1	1	1	1	1	2	1	3	1	2	2	1	1	1	1	1	3	1	4	4	4	4	1	1	3	2	3	1	1
p10	3	4	4	3	2	1	4	1	2	3	1	1	3	2	4	1	1	1	2	1	1	1	1	1	4	1	3	1	2	1
p11	1	2	2	3	3	1	2	1	4	4	4	4	1	2	4	4	2	1	4	3	2	4	3	3	4	4	4	1	4	3
p12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	1	4	1	2
p13	2	4	2	1	2	1	1	4	2	4	2	2	2	4	2	4	2	3	4	4	4	3	4	2	2	4	4	4	2	3
p14	1	4	1	4	4	1	1	4	1	4	1	1	3	4	4	4	1	4	1	4	1	1	1	4	2	4	4	4	1	1
